timestamp,relative_time (seg),id,value
1562356458371,11.017,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.92, 'D1_Analog_Input_1': 4.93}"
1562356459374,12.02,0xdc,"{'D2_Torque_Feedback': 0.8, 'D3_Power_On_Timer': 548.328, 'D1_Commanded_Torque': 0.9}"
1562356460378,13.024,0xf0,"{'Inverter_Enable': 'Turn the Inverter ON', 'Speed_Mode_Enable': 0, 'Speed_Command': 0, 'Torque_Command': 1.0, 'Direction_Command': 'CCW', 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0}"
1562356461379,14.025,0xdc,"{'D2_Torque_Feedback': 1.1, 'D3_Power_On_Timer': 550.335, 'D1_Commanded_Torque': 0.9}"
1562356462379,15.025,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356463380,16.026,0xdc,"{'D2_Torque_Feedback': 0.30000000000000004, 'D3_Power_On_Timer': 552.333, 'D1_Commanded_Torque': 0.9}"
1562356464382,17.028,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356465384,18.03,0xdd,"{'D1_Modulation_Index': 0.0392, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.1, 'D3_Id_Command': 0.0}"
1562356466386,19.032,0xdc,"{'D2_Torque_Feedback': 0.9, 'D3_Power_On_Timer': 555.438, 'D1_Commanded_Torque': 0.9}"
1562356467387,20.033,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356468387,21.033,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.93, 'D1_Analog_Input_1': 4.93}"
1562356469392,22.038,0xdd,"{'D1_Modulation_Index': 0.0414, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.2000000000000002, 'D3_Id_Command': 0.0}"
1562356470395,23.041,0xdc,"{'D2_Torque_Feedback': 1.0, 'D3_Power_On_Timer': 559.344, 'D1_Commanded_Torque': 0.9}"
1562356471395,24.041,0xdd,"{'D1_Modulation_Index': 0.0391, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.1, 'D3_Id_Command': 0.0}"
1562356472396,25.042,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356473398,26.044,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356474398,27.044,0xd6,"{'D3_Phase_C_Current': -0.7000000000000001, 'D4_DC_Bus_Current': 0.0, 'D1_Phase_A_Current': -1.5, 'D2_Phase_B_Current': 0.1}"
1562356475401,28.047,0xdc,"{'D2_Torque_Feedback': 2.2, 'D3_Power_On_Timer': 564.465, 'D1_Commanded_Torque': 0.9}"
1562356476401,29.047,0xdd,"{'D1_Modulation_Index': 0.0419, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.3, 'D3_Id_Command': 0.0}"
1562356477402,30.048,0xd7,"{'D2_Output_Voltage': 12.8, 'D4_VBC_Vq_Voltage': 12.8, 'D1_DC_Bus_Voltage': 607.0, 'D3_VAB_Vd_Voltage': 0.1}"
1562356478404,31.05,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356479405,32.051,0xdd,"{'D1_Modulation_Index': 0.044700000000000004, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.5, 'D3_Id_Command': 0.0}"
1562356480408,33.054,0xde,"{'D3_DateCode_MMDD': 1297, 'D2_SW_Version': 6580, 'D4_DateCode_YYYY': 8216, 'D1_Project_Code_EEP_Ver': 16}"
1562356481408,34.054,0xd6,"{'D3_Phase_C_Current': 0.8, 'D4_DC_Bus_Current': 0.0, 'D1_Phase_A_Current': -0.9, 'D2_Phase_B_Current': 1.3}"
1562356482409,35.055,0xf0,"{'Inverter_Enable': 'Turn the Inverter ON', 'Speed_Mode_Enable': 0, 'Speed_Command': 0, 'Torque_Command': 1.0, 'Direction_Command': 'CCW', 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0}"
1562356483413,36.059,0xdd,"{'D1_Modulation_Index': 0.0393, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.0, 'D3_Id_Command': 0.0}"
1562356484414,37.06,0xdc,"{'D2_Torque_Feedback': 1.3, 'D3_Power_On_Timer': 573.465, 'D1_Commanded_Torque': 0.9}"
1562356485416,38.062,0xdd,"{'D1_Modulation_Index': 0.0393, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.0, 'D3_Id_Command': 0.0}"
1562356486417,39.063,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356487418,40.064,0xd8,"{'D1_Flux_Command': 0.051000000000000004, 'D3_Id': -1.0, 'D4_Iq': 1.9000000000000001, 'D2_Flux_Feedback': -6.081}"
1562356488419,41.065,0xdd,"{'D1_Modulation_Index': 0.039900000000000005, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.1, 'D3_Id_Command': 0.0}"
1562356489420,42.066,0xd4,"{'D2_Digital_Input_2': 0, 'D4_Digital_Input_4': 0, 'D7_Digital_Input_7': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D6_Digital_Input_6': 0}"
1562356490420,43.066,0xdc,"{'D2_Torque_Feedback': 1.5, 'D3_Power_On_Timer': 579.324, 'D1_Commanded_Torque': 0.9}"
1562356491421,44.067,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.95, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.92, 'D1_Analog_Input_1': 4.93}"
1562356492423,45.069,0xd8,"{'D1_Flux_Command': 0.051000000000000004, 'D3_Id': -0.6000000000000001, 'D4_Iq': -1.3, 'D2_Flux_Feedback': -6.081}"
1562356493423,46.069,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.93, 'D1_Analog_Input_1': 4.93}"
1562356494424,47.07,0xd4,"{'D2_Digital_Input_2': 0, 'D4_Digital_Input_4': 0, 'D7_Digital_Input_7': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D6_Digital_Input_6': 0}"
1562356495425,48.071,0xd5,"{'D4_Delta_Resolver_Filtered': 91.5, 'D3_Electrical_Output_Frequency': 30.3, 'D2_Motor_Speed': 182, 'D1_Motor_Angle_Electrical': 222.4}"
1562356496426,49.072,0xd8,"{'D1_Flux_Command': 0.051000000000000004, 'D3_Id': -0.2, 'D4_Iq': 0.6000000000000001, 'D2_Flux_Feedback': -6.081}"
1562356497428,50.074,0xd7,"{'D2_Output_Voltage': 12.0, 'D4_VBC_Vq_Voltage': 12.0, 'D1_DC_Bus_Voltage': 607.4, 'D3_VAB_Vd_Voltage': 0.30000000000000004}"
1562356498429,51.075,0xdd,"{'D1_Modulation_Index': 0.039400000000000004, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.2000000000000002, 'D3_Id_Command': 0.0}"
1562356499430,52.076,0xde,"{'D3_DateCode_MMDD': 1297, 'D2_SW_Version': 6580, 'D4_DateCode_YYYY': 8216, 'D1_Project_Code_EEP_Ver': 16}"
1562356500431,53.077,0xf0,"{'Inverter_Enable': 'Turn the Inverter ON', 'Speed_Mode_Enable': 0, 'Speed_Command': 0, 'Torque_Command': 1.0, 'Direction_Command': 'CCW', 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0}"
1562356501431,54.077,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356502432,55.078,0xd7,"{'D2_Output_Voltage': 11.8, 'D4_VBC_Vq_Voltage': 11.8, 'D1_DC_Bus_Voltage': 607.4, 'D3_VAB_Vd_Voltage': -0.30000000000000004}"
1562356503433,56.079,0xd6,"{'D3_Phase_C_Current': -1.6, 'D4_DC_Bus_Current': 0.0, 'D1_Phase_A_Current': 0.4, 'D2_Phase_B_Current': 0.30000000000000004}"
1562356504434,57.08,0xd4,"{'D2_Digital_Input_2': 0, 'D4_Digital_Input_4': 0, 'D7_Digital_Input_7': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D6_Digital_Input_6': 0}"
1562356505438,58.084,0xf0,"{'Inverter_Enable': 'Turn the Inverter ON', 'Speed_Mode_Enable': 0, 'Speed_Command': 0, 'Torque_Command': 1.0, 'Direction_Command': 'CCW', 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0}"
1562356506440,59.086,0xdd,"{'D1_Modulation_Index': 0.0422, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 1.3, 'D3_Id_Command': 0.0}"
1562356507441,60.087,0xdc,"{'D2_Torque_Feedback': 1.7000000000000002, 'D3_Power_On_Timer': 596.46, 'D1_Commanded_Torque': 0.9}"
1562356508441,61.087,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356509443,62.089,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356510444,63.09,0xdc,"{'D2_Torque_Feedback': 2.9000000000000004, 'D3_Power_On_Timer': 599.457, 'D1_Commanded_Torque': 1.9000000000000001}"
1562356511445,64.091,0xd7,"{'D2_Output_Voltage': 30.200000000000003, 'D4_VBC_Vq_Voltage': 30.200000000000003, 'D1_DC_Bus_Voltage': 607.4, 'D3_VAB_Vd_Voltage': -1.1}"
1562356512446,65.092,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.92, 'D1_Analog_Input_1': 4.93}"
1562356513451,66.097,0xdc,"{'D2_Torque_Feedback': 2.7, 'D3_Power_On_Timer': 602.463, 'D1_Commanded_Torque': 1.9000000000000001}"
1562356514453,67.099,0xd8,"{'D1_Flux_Command': 0.051000000000000004, 'D3_Id': -2.4000000000000004, 'D4_Iq': 2.9000000000000004, 'D2_Flux_Feedback': -6.081}"
1562356515454,68.1,0xd7,"{'D2_Output_Voltage': 33.300000000000004, 'D4_VBC_Vq_Voltage': 33.300000000000004, 'D1_DC_Bus_Voltage': 607.0, 'D3_VAB_Vd_Voltage': -1.0}"
1562356516454,69.1,0xd6,"{'D3_Phase_C_Current': 0.4, 'D4_DC_Bus_Current': 0.1, 'D1_Phase_A_Current': -2.1, 'D2_Phase_B_Current': 2.4000000000000004}"
1562356517455,70.101,0xd4,"{'D2_Digital_Input_2': 0, 'D4_Digital_Input_4': 0, 'D7_Digital_Input_7': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D6_Digital_Input_6': 0}"
1562356518456,71.102,0xf0,"{'Inverter_Enable': 'Turn the Inverter ON', 'Speed_Mode_Enable': 0, 'Speed_Command': 0, 'Torque_Command': 2.0, 'Direction_Command': 'CCW', 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0}"
1562356519457,72.103,0xd5,"{'D4_Delta_Resolver_Filtered': 92.10000000000001, 'D3_Electrical_Output_Frequency': 53.400000000000006, 'D2_Motor_Speed': 321, 'D1_Motor_Angle_Electrical': 218.4}"
1562356520458,73.104,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.92, 'D1_Analog_Input_1': 4.93}"
1562356521461,74.107,0xdd,"{'D1_Modulation_Index': 0.1119, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 2.4000000000000004, 'D3_Id_Command': 0.0}"
1562356522463,75.109,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356523463,76.109,0xd8,"{'D1_Flux_Command': 0.051000000000000004, 'D3_Id': 0.0, 'D4_Iq': 3.1, 'D2_Flux_Feedback': -6.081}"
1562356524464,77.11,0xd6,"{'D3_Phase_C_Current': -3.6, 'D4_DC_Bus_Current': 0.2, 'D1_Phase_A_Current': 3.5, 'D2_Phase_B_Current': -0.5}"
1562356525465,78.111,0xd4,"{'D2_Digital_Input_2': 0, 'D4_Digital_Input_4': 0, 'D7_Digital_Input_7': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D6_Digital_Input_6': 0}"
1562356526466,79.112,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.93, 'D1_Analog_Input_1': 4.93}"
1562356527470,80.116,0xdd,"{'D1_Modulation_Index': 0.1341, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 3.8000000000000003, 'D3_Id_Command': 0.0}"
1562356528470,81.116,0xd4,"{'D2_Digital_Input_2': 0, 'D4_Digital_Input_4': 0, 'D7_Digital_Input_7': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D6_Digital_Input_6': 0}"
1562356529471,82.117,0xd7,"{'D2_Output_Voltage': 41.0, 'D4_VBC_Vq_Voltage': 41.0, 'D1_DC_Bus_Voltage': 607.0, 'D3_VAB_Vd_Voltage': -0.7000000000000001}"
1562356530472,83.118,0xdd,"{'D1_Modulation_Index': 0.1361, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 3.8000000000000003, 'D3_Id_Command': 0.0}"
1562356531473,84.119,0xd8,"{'D1_Flux_Command': 0.051000000000000004, 'D3_Id': -0.8, 'D4_Iq': 3.7, 'D2_Flux_Feedback': -6.081}"
1562356532474,85.12,0xd5,"{'D4_Delta_Resolver_Filtered': 92.9, 'D3_Electrical_Output_Frequency': 72.7, 'D2_Motor_Speed': 437, 'D1_Motor_Angle_Electrical': 343.8}"
1562356533476,86.122,0xd4,"{'D2_Digital_Input_2': 0, 'D4_Digital_Input_4': 0, 'D7_Digital_Input_7': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D6_Digital_Input_6': 0}"
1562356534479,87.125,0xdd,"{'D1_Modulation_Index': 0.13720000000000002, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 3.8000000000000003, 'D3_Id_Command': 0.0}"
1562356535480,88.126,0xdc,"{'D2_Torque_Feedback': 3.0, 'D3_Power_On_Timer': 624.45, 'D1_Commanded_Torque': 2.9000000000000004}"
1562356536483,89.129,0xf0,"{'Inverter_Enable': 'Turn the Inverter ON', 'Speed_Mode_Enable': 0, 'Speed_Command': 0, 'Torque_Command': 3.0, 'Direction_Command': 'CCW', 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0}"
1562356537481,90.127,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356538483,91.129,0xde,"{'D3_DateCode_MMDD': 1297, 'D2_SW_Version': 6580, 'D4_DateCode_YYYY': 8216, 'D1_Project_Code_EEP_Ver': 16}"
1562356539485,92.131,0xdd,"{'D1_Modulation_Index': 0.1368, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 3.8000000000000003, 'D3_Id_Command': 0.0}"
1562356540485,93.131,0xd7,"{'D2_Output_Voltage': 41.800000000000004, 'D4_VBC_Vq_Voltage': 41.800000000000004, 'D1_DC_Bus_Voltage': 607.4, 'D3_VAB_Vd_Voltage': -0.4}"
1562356541490,94.136,0xf0,"{'Inverter_Enable': 'Turn the Inverter ON', 'Speed_Mode_Enable': 0, 'Speed_Command': 0, 'Torque_Command': 3.0, 'Direction_Command': 'CCW', 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0}"
1562356542487,95.133,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356543491,96.137,0xdd,"{'D1_Modulation_Index': 0.137, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 3.8000000000000003, 'D3_Id_Command': 0.0}"
1562356544492,97.138,0xdc,"{'D2_Torque_Feedback': 2.4000000000000004, 'D3_Power_On_Timer': 633.468, 'D1_Commanded_Torque': 2.9000000000000004}"
1562356545493,98.139,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356546493,99.139,0xd6,"{'D3_Phase_C_Current': 0.4, 'D4_DC_Bus_Current': 0.2, 'D1_Phase_A_Current': -3.2, 'D2_Phase_B_Current': 4.1000000000000005}"
1562356547495,100.141,0xdc,"{'D2_Torque_Feedback': 3.3000000000000003, 'D3_Power_On_Timer': 636.465, 'D1_Commanded_Torque': 2.9000000000000004}"
1562356548495,101.141,0xd1,"{'D2_RTD1_Temperature': 213.3, 'D1_Control_Board_Temperature': 34.5, 'D4_RTD3_Temperature': -1000.0, 'D3_RTD2_Temperature': 215.5}"
1562356549496,102.142,0xd3,"{'D5_Analog_Input_5': 4.94, 'D6_Analog_Input_6': 4.94, 'D2_Analog_Input_2': 2.09, 'D4_Analog_Input_4': 4.93, 'D3_Analog_Input_3': 4.93, 'D1_Analog_Input_1': 4.93}"
1562356550498,103.144,0xdd,"{'D1_Modulation_Index': 0.1356, 'D2_Flux_Weakening_Output': 0.0, 'D4_Iq_Command': 3.8000000000000003, 'D3_Id_Command': 0.0}"
1562356551500,104.146,0xda,"{'D3_Relay_5_Status': 0, 'D5_Inverter_Command_Mode': 0, 'D6_Inverter_Enable_Lockout': 0, 'D6_Inverter_Enable_State': 1, 'D4_Inverter_Discharge_State': 0, 'D7_BMS_Active': 0, 'D4_Inverter_Run_Mode': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_3_Status': 1, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D3_Relay_4_Status': 0, 'D3_Relay_6_Status': 0, 'D7_Direction_Command': 1, 'D7_BMS_Torque_Limiting': 0, 'D3_Relay_1_Status': 0}"
1562356552501,105.147,0xdc,"{'D2_Torque_Feedback': 3.5, 'D3_Power_On_Timer': 641.469, 'D1_Commanded_Torque': 2.9000000000000004}"
1562356553501,106.147,0xd5,"{'D4_Delta_Resolver_Filtered': 92.80000000000001, 'D3_Electrical_Output_Frequency': 72.2, 'D2_Motor_Speed': 433, 'D1_Motor_Angle_Electrical': 89.9}"
1562356554502,107.148,0xd7,"{'D2_Output_Voltage': 41.800000000000004, 'D4_VBC_Vq_Voltage': 41.800000000000004, 'D1_DC_Bus_Voltage': 607.2, 'D3_VAB_Vd_Voltage': -1.1}"
1562356555503,108.149,0xd5,"{'D4_Delta_Resolver_Filtered': 92.80000000000001, 'D3_Electrical_Output_Frequency': 72.60000000000001, 'D2_Motor_Speed': 436, 'D1_Motor_Angle_Electrical': 119.10000000000001}"
1562356556507,109.153,0xdc,"{'D2_Torque_Feedback': 3.0, 'D3_Power_On_Timer': 645.474, 'D1_Commanded_Torque': 2.9000000000000004}"
1562356557509,110.155,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
1562356558512,111.158,0xdc,"{'D2_Torque_Feedback': 3.9000000000000004, 'D3_Power_On_Timer': 647.472, 'D1_Commanded_Torque': 2.9000000000000004}"
1562356559513,112.159,0xd8,"{'D1_Flux_Command': 0.051000000000000004, 'D3_Id': -1.7000000000000002, 'D4_Iq': 5.2, 'D2_Flux_Feedback': -6.081}"
1562356560515,113.161,0xd7,"{'D2_Output_Voltage': 41.5, 'D4_VBC_Vq_Voltage': 41.400000000000006, 'D1_DC_Bus_Voltage': 607.4, 'D3_VAB_Vd_Voltage': -1.2000000000000002}"
1562356561515,114.161,0xdb,"{'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0, 'D1_Post_Fault_Lo': 0}"
